Disease,Symptoms
ileus,"pain abdominal, gravida 0, gurgle, apyrexial, shortness of breath"
carcinoma,"flare, lung nodule, nausea, loose associations, heartburn, diarrhea"
suicide   attempt,"cough, formication, hypokinesia, proteinemia, fatigue, flushing, irritable mood, mediastinal shift"
accident   cerebrovascular,"dysuria, asthenia, seizure, regurgitates after swallowing, unresponsiveness, abnormally hard consistency"
transient   ischemic attack,"paresis, headache, difficulty, syncope, clumsiness, palpitation"
incontinence,"syncope, rhonchus, fall, stiffness, hoard"
osteoporosis,"dysuria, low back pain, qt interval prolonged, cicatrisation, apyrexial, syncope, lightheadedness"
thrombocytopaenia,"decompensation, hypotension, abnormally hard consistency, fatigue, posterior rhinorrhea, blackout"
pyelonephritis,"pain abdominal, snuffle, fever, myalgia, primigravida, chill"
carcinoma colon,"hyperemesis, lip smacking, polydypsia, flare, elation, systolic ejection murmur"
influenza,"extreme exhaustion, fremitus, rhonchus, monoclonal, distress respiratory, blackout, fall"
stenosis   aortic valve,"lethargy, frothy sputum, shortness of breath, pain, incoherent, aphagia, bradycardia, natural"
cirrhosis,"hemodynamically stable, guaiac positive, r wave feature, panic, sore to touch, bleeding of vagina"
chronic   alcoholic intoxication,"panic, breath sounds decreased, myoclonus, shortness of breath, asymptomatic"
insufficiency   renal,"green sputum, hypotension, pallor, no status change, facial paresis, breath sounds decreased, elation, hypokinesia"
obesity,"overweight, agitation, lesion, stiffness, rhonchus, ecchymosis, alcohol binge episode, painful swallowing"
insufficiency   renal,"breath sounds decreased, hypotonic, alcoholic withdrawal symptoms, hypokinesia, sneeze, malaise, heavy legs"
encephalopathy,"regurgitates after swallowing, thicken, hypokinesia, r wave feature, debilitation, unresponsiveness, dullness, ache"
transient   ischemic attack,"clumsiness, haemorrhage, headache, decompensation, syncope, ambidexterity"
hernia,"mass of body structure, feeling strange, nausea, myoclonus, erythema"
pneumonia,"non-productive cough, malaise, wheezing, sleepy, moody, night sweat"
kidney   failure acute,"rhonchus, hydropneumothorax, Heberden's node, diarrhea, unresponsiveness, natural, haemorrhage, ascites, incoherent, aphagia"
diabetes,"vertigo, impaired cognition, tumor cell invasion, non-productive cough, unresponsiveness, vomiting"
pneumothorax,"agitation, prostatism, lip smacking, dizziness, cardiovascular event"
gastroesophageal   reflux disease,"gag, pressure chest, malaise, stridor, fever, asthenia, sweating increased, groggy"
paranoia,"hypersomnolence, mass in breast, bowel sounds decreased, mood depressed, haemoptysis, blackout, loose associations"
failure   heart,"enuresis, unable to concentrate, hypokinesia, hypometabolism, hypotension, cystic lesion, systolic ejection murmur, angina pectoris"
stenosis   aortic valve,"pain, shortness of breath, bradycardia, moan, vomiting, scar tissue"
bronchitis,"suicidal, retropulsion, hacking cough, dyspnea, chest discomfort, scleral icterus"
manic   disorder,"difficulty, stool color yellow, awakening early, feeling suicidal, vision blurred, suicidal, hemiplegia"
insufficiency   renal,"loose associations, breath sounds decreased, difficulty, urinoma, lesion, hypotension, hypokinesia"
anxiety   state,"pain, palpitation, gravida 10, pain foot, hemianopsia homonymous, hot flush, hallucinations auditory"
primary   carcinoma of the liver cells,"poor feeding, cough, feeling hopeless, hot flush, pain abdominal"
gastroesophageal   reflux disease,"decreased body weight, nausea, palpitation, asymptomatic, spasm, systolic ejection murmur, pain abdominal, Stahli's line, sweating increased, asthenia"
obesity,"hemianopsia homonymous, overweight, mood depressed, systolic murmur, bradykinesia"
migraine   disorders,"fever, ascites, splenomegaly, dizziness, nausea, pressure chest"
Pneumocystis   carinii pneumonia,"transaminitis, non-productive cough, bradykinesia, choke, headache, poor dentition"
hernia   hiatal,"numbness of hand, giddy mood, frail, headache, non-productive cough, guaiac positive"
thrombocytopaenia,"fatigue, posterior rhinorrhea, hypotension, breath sounds decreased, pansystolic murmur, intermenstrual heavy bleeding, pruritus"
anemia,"gravida 0, shortness of breath, macule, swelling, guaiac positive"
epilepsy,"adverse effect, excruciating pain, bradykinesia, wheelchair bound, hypercapnia"
gastritis,"catching breath, dizziness, presence of q wave, sore to touch, palpitation, passed stones, hypocalcemia result, hypokalemia, decreased body weight"
accident   cerebrovascular,"numbness, unresponsiveness, seizure, bradycardia, natural, asthenia, neologism, rale"
edema   pulmonary,"urgency of micturition, wheezing, hypertonicity, pain chest, chest discomfort, para 2"
carcinoma breast,"burning sensation, swelling, breath-holding spell, formication, t wave inverted, rhonchus, orthopnea"
decubitus   ulcer,"frail, headache, dizziness, hyperkalemia, fever, uncoordination, blackout, hypotonic"
decubitus   ulcer,"headache, haemorrhage, frail, nervousness, systolic murmur"
tonic-clonic seizures,"ambidexterity, unsteady gait, headache, spasm, pleuritic pain, impaired cognition, tumor cell invasion, paresis"
anxiety   state,"pain, hallucinations auditory, mood depressed, verbally abusive behavior, low back pain, hot flush"
carcinoma,"nausea, polydypsia, diarrhea, welt, mydriasis, lung nodule, debilitation"
cholecystitis,"groggy, abnormally hard consistency, regurgitates after swallowing, abscess bacterial, malaise, dysesthesia, feces in rectum"
epilepsy,"patient non compliance, flushing, wheelchair bound, guaiac positive, lethargy, spasm, sleepy"
deep   vein thrombosis,"alcohol binge episode, clonus, non-productive cough, has religious belief, fear of falling"
decubitus   ulcer,"bedridden, headache, systolic murmur, frail, clammy skin"
diverticulitis,"tired, urgency of micturition, thicken, moan, scar tissue"
colitis,"prostatism, low back pain, tenesmus, pain abdominal, dysdiadochokinesia, yellow sputum"
neoplasm,"decreased body weight, headache, panic, excruciating pain, pain abdominal, fever, satiety early"
cellulitis,"pruritus, soft tissue swelling, t wave inverted, sore to touch, sneeze, scratch marks"
bipolar   disorder,"mydriasis, loose associations, drowsiness, mediastinal shift, verbally abusive behavior"
transient   ischemic attack,"impaired cognition, monoclonal, rhd positive, clumsiness, difficulty, indifferent mood, seizure, headache, hemianopsia homonymous"
lymphatic   diseases,"monocytosis, retropulsion, egophony, vision blurred, blanch, fremitus, syncope, hyperkalemia, non-productive cough, fatigue"
malignant   neoplasms,"dullness, throbbing sensation quality, elation, food intolerance, distress respiratory, breakthrough pain"
incontinence,"frail, nasal flaring, unresponsiveness, fall, syncope"
paroxysmal   dyspnea,"weight gain, sweating increased, dyspnea, cyanosis, side pain, cough, neologism"
incontinence,"photopsia, difficulty passing urine, syncope, stiffness, unresponsiveness"
neuropathy,"enuresis, asthenia, malaise, tenesmus, charleyhorse, shooting pain"
failure   heart,"hypotension, systolic ejection murmur, hypokinesia, angina pectoris, thicken, palpitation"
Alzheimer's   disease,"fever, muscle twitch, stridor, adverse effect, tremor, overweight, groggy, colic abdominal"
respiratory   failure,"stupor, painful swallowing, shortness of breath, bruit, ambidexterity, chest discomfort, hemianopsia homonymous, redness, consciousness clear"
confusion,"cardiomegaly, dizziness, dysarthria, motor retardation, lightheadedness, unresponsiveness"
lymphatic   diseases,"wheelchair bound, productive cough, egophony, fremitus, atypia, fatigue, non-productive cough, hoard"
neoplasm,"decreased body weight, satiety early, headache, rapid shallow breathing, withdraw, systolic murmur"
spasm   bronchial,"paresis, fremitus, pain, sleeplessness, sensory discomfort, todd paralysis"
lymphatic   diseases,"fremitus, egophony, fatigue, non-productive cough, fever, pain foot"
cirrhosis,"systolic ejection murmur, paraparesis, bradykinesia, hemodynamically stable, sore to touch, has religious belief"
sickle   cell anemia,"headache, para 1, hematocrit decreased, extreme exhaustion, apyrexial, hepatosplenomegaly"
glaucoma,"mass of body structure, uncoordination, wheelchair bound, burning sensation, hyponatremia"
carcinoma colon,"hyperemesis, systolic ejection murmur, paraparesis, hematochezia, projectile vomiting, nausea"
gastroenteritis,"mass of body structure, feeling hopeless, hyponatremia, proteinemia, retch, decreased body weight"
pericardial effusion body substance,"energy increased, pain, no known drug allergies, intoxication, extrapyramidal sign, food intolerance, oliguria, urgency of micturition"
tachycardia   sinus,"history of - blackout, hypersomnolence, vomiting, numbness, pain abdominal, stupor, polyuria, shortness of breath, feels hot/feverish"
dehydration,"lethargy, incoherent, dizziness, history of - blackout, sensory discomfort, urinoma"
carcinoma colon,"systolic ejection murmur, photopsia, pain abdominal, hyperemesis, polydypsia"
colitis,"pansystolic murmur, chill, pain abdominal, urge incontinence, fall, rhonchus, tenesmus"
Alzheimer's   disease,"colic abdominal, fever, primigravida, impaired cognition, tremor, muscle twitch, shortness of breath, scleral icterus, retropulsion"
edema   pulmonary,"sinus rhythm, chest discomfort, loose associations, general unsteadiness, productive cough, wheezing, pain chest"
aphasia,"aphagia, terrify, charleyhorse, low back pain, phonophobia"
depressive disorder,"energy increased, nightmare, transsexual, hyperkalemia, vision blurred, verbal auditory hallucinations, systolic ejection murmur, fremitus"
hypercholesterolemia,"t wave inverted, cough, worry, st segment depression, erythema, dyspnea"
neoplasm,"t wave inverted, headache, prodrome, hyperhidrosis disorder, mental status changes, satiety early"
accident   cerebrovascular,"jugular venous distention, seizure, asthenia, claudication, headache, hyponatremia, unresponsiveness"
mitral   valve insufficiency,"fatigue, aura, vomiting, para 2, sweating increased, pain"
parkinson   disease,"rambling speech, mass of body structure, sleepy, hypokalemia, night sweat, hematuria"
peripheral   vascular disease,"dyspnea, lesion, pulsus paradoxus, anorexia, sleepy, sore to touch"
hyperlipidemia,"weight gain, hyperhidrosis disorder, hypokinesia, dizziness, dysarthria, mental status changes, hemiplegia"
psychotic   disorder,"energy increased, catatonia, terrify, sedentary, rapid shallow breathing, myalgia, behavior hyperactive, pain back"
lymphoma,"tired, polydypsia, barking cough, red blotches, superimposition, phonophobia"
gastritis,"pain, lightheadedness, cyanosis, feeling suicidal, dizziness"
bacteremia,"pallor, barking cough, hematochezia, extrapyramidal sign, pruritus"
endocarditis,"orthopnea, dysdiadochokinesia, underweight, apyrexial, hypertonicity, decreased body weight, haemoptysis"
ulcer   peptic,"hunger, bradykinesia, nervousness, withdraw, apyrexial"
glaucoma,"throat sore, burning sensation, hyponatremia, urinoma, pain, scratch marks, mass of body structure"
obesity   morbid,"renal angle tenderness, cystic lesion, feels hot/feverish, hematocrit decreased, rambling speech, soft tissue swelling, tonic seizures"
bacteremia,"symptom aggravating factors, pleuritic pain, decreased translucency, diarrhea, bruit"
tricuspid   valve insufficiency,"pain, breath-holding spell, impaired cognition, asthenia, tinnitus, mediastinal shift, side pain"
gastroesophageal   reflux disease,"sweating increased, pleuritic pain, palpitation, pain abdominal, vision blurred"
carcinoma colon,"systolic ejection murmur, syncope, hyperemesis, polydypsia, stool color yellow, tachypnea, agitation, nausea"
obesity,"systolic murmur, overweight, tremor, breath-holding spell, urge incontinence, incoherent, mood depressed"
gastritis,"sore to touch, unresponsiveness, moody, decreased body weight, yellow sputum"
osteomyelitis,"dysuria, hallucinations auditory, abscess bacterial, gasping for breath, nightmare, pain foot"
chronic   obstructive airway disease,"wheezing, patient non compliance, soft tissue swelling, chest tightness, satiety early"
arthritis,"distended abdomen, pain, bradycardia, abdominal tenderness, general unsteadiness, heavy feeling"
arthritis,"vomiting, fremitus, shortness of breath, general unsteadiness, dyspareunia, pain"
glaucoma,"mass of body structure, estrogen use, alcoholic withdrawal symptoms, decompensation, lesion, burning sensation"
paroxysmal   dyspnea,"cough, nightmare, weight gain, cicatrisation, labored breathing, dyspnea, heavy legs, unwell"
dementia,"unsteady gait, fatigue, hallucinations auditory, abdominal tenderness, feeling hopeless, pain, pain abdominal"
gastroesophageal   reflux disease,"room spinning, palpitation, pain abdominal, sweating increased, agitation, dizzy spells, catching breath"
infection   urinary tract,"difficulty passing urine, consciousness clear, cardiovascular event, orthopnea, mental status changes, sciatica, cachexia"
anemia,"guaiac positive, fatigability, urinary hesitation, poor feeding, pruritus"
encephalopathy,"hypokinesia, dizzy spells, debilitation, terrify, thicken"
cellulitis,"scratch marks, sore to touch, pruritus, pain chest, feeling hopeless, decompensation"
chronic   kidney failure,"unresponsiveness, fever, alcoholic withdrawal symptoms, nausea, exhaustion, estrogen use, underweight"
encephalopathy,"hypokinesia, nasal discharge present, unresponsiveness, debilitation, withdraw"
stenosis   aortic valve,"shortness of breath, tinnitus, urgency of micturition, frothy sputum, extreme exhaustion, hypoxemia"
paroxysmal   dyspnea,"cough, hyperventilation, projectile vomiting, dyspnea, unhappy, weight gain, pressure chest"
diverticulitis,"urgency of micturition, transaminitis, monoclonal, hyperventilation, claudication, vertigo, thicken, fever, heavy legs, feeling hopeless"
colitis,"metastatic lesion, urge incontinence, pain abdominal, chill, tenesmus, hematocrit decreased"
pericardial effusion body substance,"mass of body structure, oliguria, intoxication, abnormal sensation, aura, hyperventilation, pain, blackout, behavior hyperactive, impaired cognition"
decubitus   ulcer,"headache, prodrome, polydypsia, fever, hypercapnia, systolic murmur"
carcinoma of lung,"agitation, lightheadedness, thicken, hyperkalemia, decreased translucency"
decubitus   ulcer,"previous pregnancies 2, frail, awakening early, hyperventilation, tremor, fever"
failure   heart,"angina pectoris, night sweat, low back pain, Heberden's node, bedridden, hypotension"
pneumonia,"wheezing, suicidal, nonsmoker, non-productive cough, ambidexterity"
suicide   attempt,"cough, wheelchair bound, emphysematous change, pain back, formication, erythema, breath sounds decreased, prostatism, irritable mood"
delusion,"terrify, Murphy's sign, agitation, irritable mood, nausea, lesion, atypia, enuresis"
hepatitis   C,"cough, hallucinations auditory, bedridden, chill, tachypnea, asterixis"
diverticulitis,"thicken, rale, fever, rapid shallow breathing, angina pectoris, urgency of micturition, monoclonal, wheezing, facial paresis"
exanthema,"painful swallowing, pain, photophobia, chill, night sweat, mydriasis, qt interval prolonged"
gastroesophageal   reflux disease,"sweating increased, palpitation, asthenia, gasping for breath, Stahli's line"
hemiparesis,"Stahli's line, facial paresis, qt interval prolonged, sleepy, productive cough"
influenza,"blackout, claudication, urinoma, sneeze, extreme exhaustion, distress respiratory"
hyperglycemia,"ascites, previous pregnancies 2, sinus rhythm, estrogen use, throbbing sensation quality, decreased stool caliber, seizure, hematochezia, catching breath"
carcinoma prostate,"presence of q wave, dullness, hepatomegaly, hemodynamically stable, orthostasis, emphysematous change, choke, decreased body weight"
insufficiency   renal,"rapid shallow breathing, pain in lower limb, breath sounds decreased, non-productive cough, hypotension, lung nodule, hypocalcemia result, difficulty"
schizophrenia,"worry, flare, nightmare, homelessness, has religious belief, hallucinations visual"
embolism   pulmonary,"wheezing, unresponsiveness, debilitation, heme positive, nausea, groggy, non-productive cough, renal angle tenderness, distress respiratory"
bronchitis,"hypersomnia, noisy respiration, hacking cough, dyspnea, breech presentation, chill"
hypothyroidism,"mental status changes, hyperemesis, lung nodule, shooting pain, agitation, polyuria"
hemiparesis,"debilitation, no status change, facial paresis, Stahli's line, sleepy, hyperhidrosis disorder"
lymphoma,"difficulty passing urine, superimposition, wheelchair bound, hallucinations auditory, polydypsia"
personality   disorder,"worry, pruritus, sweating increased, homelessness, systolic murmur, side pain"
cardiomyopathy,"patient non compliance, labored breathing, natural, dyspnea on exertion, tinnitus, tremor, fatigue, todd paralysis"
transient   ischemic attack,"headache, syncope, terrify, difficulty, diarrhea"
parkinson   disease,"night sweat, hematuria, cardiovascular event, worry, guaiac positive, sleepy, mass of body structure, sputum purulent"
benign   prostatic hypertrophy,"distress respiratory, pain, mental status changes, hyperemesis, anorexia, monocytosis"
hypertensive   disease,"hypotonic, groggy, cough, angina pectoris, pressure chest"
hemorrhoids,"numbness of hand, sleepy, achalasia, cushingoid habitus, guaiac positive"
gout,"ascites, sinus rhythm, polydypsia, moan, hypokinesia"
colitis,"chill, loose associations, urge incontinence, extreme exhaustion, tenesmus, pain abdominal, disequilibrium, behavior showing increased motor activity"
exanthema,"prostate tender, feeling hopeless, tinnitus, painful swallowing, photophobia, metastatic lesion, chill"
hernia,"jugular venous distention, food intolerance, asthenia, mass of body structure, no known drug allergies"
lymphoma,"polydypsia, disequilibrium, superimposition, tired, difficulty passing urine, hallucinations auditory"
failure   kidney,"mass in breast, tremor, no status change, bedridden, prostatism, paraparesis, fatigue, ache"
osteomyelitis,"hoard, urinary hesitation, pain foot, stiffness, pain abdominal, abscess bacterial"
emphysema   pulmonary,"constipation, emphysematous change, choke, hypotonic, arthralgia, frail, fremitus"
accident   cerebrovascular,"excruciating pain, seizure, numbness, asthenia, uncoordination"
pyelonephritis,"chill, myalgia, pain foot, fever, pain in lower limb"
bronchitis,"unable to concentrate, hacking cough, decreased body weight, food intolerance, polymyalgia, photopsia, chill, sinus rhythm"
primary malignant neoplasm,"rapid shallow breathing, heavy feeling, pain, weepiness, choke, hoarseness, thicken, fremitus"
hyperlipidemia,"motor retardation, dizziness, giddy mood, hypoproteinemia, hemiplegia, painful swallowing"
osteomyelitis,"hyperemesis, urinary hesitation, dysuria, Stahli's line, excruciating pain, pain foot, bradykinesia, abscess bacterial"
primary malignant neoplasm,"non-productive cough, hoarseness, feeling strange, thicken, pain, hematuria"
lymphoma,"tired, bruit, difficulty passing urine, hemiplegia, polydypsia, superimposition"
tachycardia   sinus,"bradykinesia, shortness of breath, t wave inverted, pain abdominal, dyspnea, vomiting, spontaneous rupture of membranes"
pneumothorax,"soft tissue swelling, asymptomatic, prostatism, pain, agitation, sleepy, cardiovascular event"
hemiparesis,"hypoproteinemia, stinging sensation, pallor, Stahli's line, sleepy"
affect   labile,"decreased translucency, enuresis, lightheadedness, fall, soft tissue swelling, hallucinations visual"
carcinoma prostate,"verbal auditory hallucinations, decreased body weight, cicatrisation, monocytosis, orthopnea, spasm"
tonic-clonic seizures,"cyanosis, headache, prodrome, decompensation, tumor cell invasion, spasm"
upper   respiratory infection,"noisy respiration, clammy skin, frail, sweating increased, orthostasis, emphysematous change, passed stones, apyrexial, pain back"
spasm   bronchial,"rapid shallow breathing, t wave inverted, cough, chill, pain, cystic lesion, fremitus, welt, vomiting"
gastritis,"lightheadedness, heavy legs, dizziness, scleral icterus, pain in lower limb, Murphy's sign, pain, sore to touch, pulse absent, decreased body weight"
anemia,"malaise, tinnitus, nasal discharge present, swelling, shortness of breath, pustule, claudication, transaminitis, guaiac positive, lung nodule"
bacteremia,"decreased translucency, hematuria, pallor, lung nodule, hyperacusis, left atrial hypertrophy, diarrhea, nervousness"
neoplasm   metastasis,"atypia, feels hot/feverish, fatigability, food intolerance, pain"
hypertension   pulmonary,"pneumatouria, breakthrough pain, regurgitates after swallowing, left atrial hypertrophy, hypotension, bradycardia, neck stiffness"
parkinson   disease,"formication, food intolerance, night sweat, rest pain, hematuria, sleepy, stupor"
chronic   kidney failure,"unresponsiveness, spasm, tachypnea, fever, hematuria, nausea, pleuritic pain, Heberden's node"
thrombocytopaenia,"posterior rhinorrhea, chest discomfort, fatigue, sleepy, hypotension"
encephalopathy,"decompensation, debilitation, unresponsiveness, nonsmoker, lesion, thicken, flatulence, hypokinesia"
obesity   morbid,"renal angle tenderness, feels hot/feverish, hypoxemia, hematocrit decreased, emphysematous change"
deep   vein thrombosis,"non-productive cough, redness, bedridden, clonus, thicken"
chronic   kidney failure,"pain chest, stool color yellow, nausea, unresponsiveness, fever, labored breathing"
adhesion,"unsteady gait, nausea, heavy legs, feeling suicidal, hallucinations visual"
paranoia,"wheelchair bound, energy increased, scratch marks, ataxia, pain foot, mood depressed, loose associations, renal angle tenderness, blackout"
carcinoma colon,"abscess bacterial, systolic ejection murmur, nausea, hyperemesis, polydypsia, decreased body weight"
mitral   valve insufficiency,"haemorrhage, aura, achalasia, asthenia, underweight, tremor, fatigue, pain, chest discomfort"
confusion,"catatonia, nausea and vomiting, lightheadedness, dysarthria, unresponsiveness"
chronic   alcoholic intoxication,"shortness of breath, breath sounds decreased, monocytosis, panic, difficulty"
pancreatitis,"nausea, rigor - temperature-associated observation, apyrexial, immobile, hydropneumothorax, para 1"
endocarditis,"metastatic lesion, pain neck, apyrexial, decreased body weight, hypokinesia, anosmia, orthopnea, muscle twitch, pruritus"
hypoglycemia,"polyuria, fever, jugular venous distention, distress respiratory, hypotension, vision blurred, clammy skin, verbally abusive behavior"
ileus,"apyrexial, hyperkalemia, gravida 0, scratch marks, pain abdominal"
degenerative   polyarthritis,"distended abdomen, pruritus, non-productive cough, stiffness, general unsteadiness"
exanthema,"distress respiratory, unwell, cicatrisation, emphysematous change, painful swallowing, agitation, pain"
schizophrenia,"worry, chill, immobile, homelessness, hallucinations visual"
paroxysmal   dyspnea,"snore, intoxication, cough, sweating increased, weight gain"
carcinoma,"dyspareunia, fall, lung nodule, feeling hopeless, heartburn, Murphy's sign, diarrhea, nausea"
kidney   failure acute,"cystic lesion, flatulence, hypersomnia, nausea and vomiting, redness, unresponsiveness, diarrhea, gravida 0, natural, haemorrhage"
cellulitis,"scratch marks, pruritus, loose associations, clumsiness, sweating increased, sciatica, green sputum"
osteoporosis,"systolic murmur, syncope, soft tissue swelling, monoclonal, overweight, lightheadedness"
cellulitis,"shortness of breath, pain chest, worry, prostate tender, scratch marks, pruritus"
carcinoma colon,"hyperemesis, polydypsia, nausea, phonophobia, poor feeding, dyspareunia, systolic ejection murmur, hypometabolism"
hiv infections,"regurgitates after swallowing, abdominal bloating, hypotonic, productive cough, decreased body weight, feeling suicidal"
personality   disorder,"behavior showing increased motor activity, redness, worry, abdominal tenderness, side pain"
tonic-clonic seizures,"spasm, hypothermia, aura, ambidexterity, tumor cell invasion"
lymphoma,"tired, decompensation, worry, superimposition, polydypsia, difficulty passing urine, chest tightness"
hernia   hiatal,"arthralgia, hypersomnolence, numbness of hand, guaiac positive, headache"
spasm   bronchial,"vomiting, pain, fremitus, hacking cough, sensory discomfort"
hepatitis   C,"hot flush, focal seizures, chill, bruit, feeling suicidal"
bronchitis,"presence of q wave, indifferent mood, hacking cough, debilitation, rigor - temperature-associated observation, chill, decreased body weight"
gastroenteritis,"decreased body weight, mass of body structure, myalgia, hyponatremia, awakening early, rale"
affect   labile,"prostatism, hallucinations visual, enuresis, polymyalgia, ecchymosis, flare, bedridden, bradycardia"
aphasia,"tachypnea, fear of falling, paralyse, urinary hesitation, charleyhorse, nonsmoker, low back pain"
aphasia,"fremitus, paralyse, tenesmus, mass in breast, rale"
pneumothorax,"cardiovascular event, prostatism, anorexia, painful swallowing, soft tissue swelling, noisy respiration, agitation"
decubitus   ulcer,"systolic murmur, breath-holding spell, headache, unconscious state, incoherent, dizzy spells, frail, fever"
pneumonia,"night sweat, ambidexterity, ataxia, wheezing, malaise, pulse absent, breath sounds decreased, verbal auditory hallucinations, non-productive cough"
biliary   calculus,"palpitation, diarrhea, pin-point pupils, apyrexial, weepiness, terrify, r wave feature, pleuritic pain"
glaucoma,"abdominal bloating, hyponatremia, macule, feels hot/feverish, burning sensation, lesion"
hemorrhoids,"transsexual, nasal flaring, neck stiffness, achalasia, dizziness, breath-holding spell"
obesity   morbid,"hypoxemia, alcohol binge episode, hematocrit decreased, feels hot/feverish, renal angle tenderness, mediastinal shift, throat sore, transaminitis"
affect   labile,"snuffle, aura, enuresis, heartburn, fatigue, bedridden, hallucinations visual"
personality   disorder,"pruritus, catching breath, homelessness, side pain, worry, tachypnea"
schizophrenia,"urinary hesitation, homelessness, fecaluria, general discomfort, para 1, anorexia, worry, stridor, underweight, hallucinations visual"
