Myocardial Infarction,"A myocardial infarction, commonly known as a heart attack, occurs when blood flow to part of the heart muscle is blocked for a long enough time that part of the heart muscle is damaged or dies. This is usually caused by a blood clot forming on a ruptured atherosclerotic plaque in a coronary artery. Classic symptoms include chest pain or discomfort that may radiate to the shoulder, arm, back, neck or jaw, often described as pressure, squeezing, or fullness. Other symptoms may include shortness of breath, nausea, lightheadedness, or cold sweats. Women may experience less typical symptoms. Immediate medical attention is crucial to restore blood flow and minimize heart damage. Treatment may include medications, angioplasty with stenting, or coronary artery bypass surgery. Lifestyle changes and medications are needed after a heart attack to prevent future events."
Hypercholesterolemia,"Hypercholesterolemia refers to high levels of cholesterol in the blood, particularly low-density lipoprotein (LDL) or 'bad' cholesterol. This condition significantly increases the risk of developing atherosclerosis (narrowing and hardening of arteries) and subsequent cardiovascular diseases like coronary artery disease and stroke. While some cholesterol is essential for cell function, excess LDL cholesterol can build up in artery walls. The condition often has no symptoms until significant artery damage has occurred. Causes include poor diet (high in saturated and trans fats), lack of exercise, obesity, genetic factors (familial hypercholesterolemia), and certain medical conditions. Treatment focuses on lifestyle modifications (diet, exercise) and often cholesterol-lowering medications like statins. Regular cholesterol screening is important for early detection and management."
Infection,"An infection occurs when harmful microorganisms such as bacteria, viruses, fungi, or parasites invade the body and begin to multiply, often causing illness. Infections can affect any part of the body and range from mild to life-threatening. Common symptoms include fever, fatigue, pain or discomfort in the affected area, swelling, redness, and sometimes pus formation. The body's immune system typically fights off infections, but some require medical treatment with antibiotics (for bacterial infections), antivirals, antifungals, or other medications. Prevention strategies include vaccination, proper hand hygiene, safe food handling, and avoiding contact with infected individuals. Serious infections can lead to sepsis, a life-threatening response to infection that requires immediate medical attention. The risk of infection is higher in people with weakened immune systems."
Urinary Tract Infection,"A urinary tract infection (UTI) is an infection that can occur in any part of the urinary system, including the kidneys, ureters, bladder, and urethra. Most infections involve the lower urinary tract (the bladder and urethra). Women are at greater risk due to their shorter urethra. Symptoms often include a strong, persistent urge to urinate, a burning sensation during urination, passing frequent small amounts of urine, cloudy or strong-smelling urine, and pelvic pain (in women). Kidney infections may cause back pain, high fever, and nausea. UTIs are typically caused by bacteria, especially E. coli, and are treated with antibiotics. Drinking plenty of fluids, urinating after sexual intercourse, and proper hygiene can help prevent UTIs. Recurrent infections may require further medical evaluation."
Anemia,"Anemia is a condition characterized by a deficiency of red blood cells or hemoglobin in the blood, resulting in reduced oxygen-carrying capacity. This leads to symptoms such as fatigue, weakness, pale skin, shortness of breath, dizziness, and cold hands and feet. There are several types of anemia, including iron deficiency anemia (most common), vitamin deficiency anemia (B12 or folate), anemia of chronic disease, and aplastic anemia. Causes vary but may include blood loss, poor diet, chronic illnesses, or genetic factors. Diagnosis involves blood tests to measure red blood cell count, hemoglobin levels, and other parameters. Treatment depends on the underlying cause and may include dietary changes, supplements, medications, or in severe cases, blood transfusions. Untreated anemia can lead to heart problems and other complications."
Chronic Obstructive Pulmonary Disease,"Chronic Obstructive Pulmonary Disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. The two main conditions that contribute to COPD are emphysema (damage to air sacs in the lungs) and chronic bronchitis (long-term inflammation of the airways). Symptoms include breathing difficulty, cough, mucus production, and wheezing. Smoking is the primary cause of COPD, although long-term exposure to lung irritants like air pollution or chemical fumes can also contribute. The disease typically worsens over time, but treatment can help control symptoms and slow progression. Treatments include bronchodilators, steroids, oxygen therapy, pulmonary rehabilitation, and in severe cases, lung surgery. Quitting smoking is the most important step in managing COPD. Acute exacerbations can be life-threatening and require prompt medical attention."
Dementia,"Dementia is not a specific disease but rather a general term for the impaired ability to remember, think, or make decisions that interferes with daily activities. Alzheimer's disease is the most common type of dementia, accounting for 60-80% of cases. Other types include vascular dementia, Lewy body dementia, and frontotemporal dementia. Symptoms gradually worsen over time and may include memory loss, difficulty with communication and language, impaired reasoning and judgment, confusion and disorientation, and personality changes. While age is the greatest risk factor, dementia isn't a normal part of aging. There's currently no cure for most types of dementia, but treatments can temporarily improve symptoms. Management focuses on maintaining mental function, managing behavioral symptoms, and slowing disease progression. Support for caregivers is an essential part of dementia care."
Renal Insufficiency,"Renal insufficiency, also called kidney insufficiency, occurs when the kidneys lose their ability to adequately filter waste products from the blood. This condition can develop suddenly (acute kidney injury) or gradually over time (chronic kidney disease). Symptoms may include fatigue, swelling in the legs and ankles, shortness of breath, confusion, nausea, and changes in urine output. Causes include diabetes, high blood pressure, glomerulonephritis, polycystic kidney disease, and prolonged obstruction of the urinary tract. As kidney function declines, waste products and excess fluid build up in the body, potentially leading to serious complications. Treatment focuses on addressing the underlying cause, managing symptoms, and slowing progression through dietary changes, medications, and in advanced cases, dialysis or kidney transplantation. Regular monitoring of kidney function is important for people at risk."
Confusion,"Confusion is a symptom that involves disorientation, difficulty thinking clearly or concentrating, and sometimes memory problems. It can range from mild (momentary forgetfulness) to severe (complete inability to recognize people or surroundings). Acute confusion that develops quickly (delirium) is particularly concerning and may indicate serious medical conditions such as infections, metabolic imbalances, medication reactions, or neurological disorders. Chronic confusion may be associated with dementia. Other symptoms accompanying confusion might include agitation, personality changes, slurred speech, or unusual behavior. Treatment depends on identifying and addressing the underlying cause. In elderly patients, confusion can sometimes be the primary symptom of conditions like urinary tract infections. Any sudden onset of confusion warrants immediate medical evaluation as it may signal a medical emergency like stroke or hypoglycemia."
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, characterized by the breakdown of cartilage in joints and underlying bone changes. This degenerative joint disease most often affects weight-bearing joints like the knees, hips, and spine, as well as the hands. Symptoms include joint pain and stiffness, especially after inactivity or overuse, reduced range of motion, and sometimes swelling. As the condition progresses, bones may develop spurs and joints may make grating or crackling sounds. Risk factors include aging, joint injury, obesity, and genetic predisposition. While there's no cure, treatments can relieve pain and maintain joint function. These include weight management, physical therapy, pain medications, joint injections, and in severe cases, joint replacement surgery. Regular low-impact exercise helps maintain joint mobility and muscle strength."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormones, which are essential for regulating metabolism. This slowdown in bodily functions can lead to symptoms such as fatigue, weight gain, cold intolerance, dry skin, hair loss, muscle weakness, depression, and memory problems. The most common cause is Hashimoto's thyroiditis, an autoimmune disorder where the immune system attacks the thyroid. Other causes include thyroid surgery, radiation treatment, certain medications, and iodine deficiency. Diagnosis is made through blood tests measuring thyroid-stimulating hormone (TSH) and thyroxine (T4) levels. Treatment involves daily synthetic thyroid hormone replacement (levothyroxine). Properly managed, most people with hypothyroidism can lead normal lives, though medication dosage may need periodic adjustment. Untreated hypothyroidism can lead to serious complications like heart problems and myxedema coma."
Anxiety Disorder,"Anxiety disorders are a group of mental health conditions characterized by excessive and persistent fear, worry, or dread that interferes with daily activities. These include generalized anxiety disorder, panic disorder, social anxiety disorder, and specific phobias. Physical symptoms may include restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbances, and panic attacks (sudden episodes of intense fear with physical symptoms like rapid heartbeat and shortness of breath). Anxiety disorders can be caused by a combination of genetic, environmental, psychological, and developmental factors. Treatment typically involves psychotherapy (especially cognitive-behavioral therapy), medications (such as SSRIs or benzodiazepines), or a combination. Lifestyle changes like regular exercise, stress management techniques, and adequate sleep can help manage symptoms. Without treatment, anxiety disorders can significantly impair quality of life and lead to other health problems."
Primary Malignant Neoplasm,"A primary malignant neoplasm is a cancerous tumor that originates in a specific organ or tissue, as opposed to spreading from another part of the body (metastasis). These tumors develop when normal cellular growth control mechanisms fail, allowing abnormal cells to proliferate uncontrollably and invade surrounding tissues. Symptoms vary depending on the tumor location but may include unexplained weight loss, fatigue, pain, changes in bowel or bladder habits, unusual bleeding or discharge, persistent cough, or noticeable lumps. Diagnosis typically involves imaging tests and biopsy. Treatment options include surgery, radiation therapy, chemotherapy, immunotherapy, or targeted therapy, often in combination. Early detection through screening (for cancers like breast, colon, or prostate) significantly improves outcomes. Risk factors include genetic predisposition, environmental exposures (like tobacco or UV radiation), infections, and lifestyle factors."
HIV Infection,"HIV (Human Immunodeficiency Virus) infection is a chronic condition that attacks the body's immune system, specifically the CD4 cells (T cells), which help the immune system fight infections. If left untreated, HIV can lead to AIDS (Acquired Immunodeficiency Syndrome), the most advanced stage of HIV infection. Early symptoms may include flu-like illness within 2-4 weeks after infection, followed by a long clinical latency period. As the immune system weakens, symptoms may include rapid weight loss, recurring fever, extreme fatigue, prolonged swelling of lymph glands, and opportunistic infections. HIV is spread through contact with certain body fluids, most commonly during unprotected sex or through sharing injection drug equipment. While there's no cure, antiretroviral therapy (ART) can control the virus and prevent transmission. Early diagnosis and treatment allow people with HIV to live long, healthy lives and reduce the risk of transmitting the virus."
Cellulitis,"Cellulitis is a common bacterial skin infection that affects the deeper layers of the skin and underlying tissue. It typically occurs when bacteria (usually streptococcus or staphylococcus) enter through a break in the skin. The affected area becomes red, swollen, warm, and painful, often with rapidly spreading borders. Fever and chills may accompany the skin symptoms. While cellulitis can occur anywhere on the body, it most commonly affects the lower legs. Risk factors include skin injuries, chronic skin conditions, lymphedema, obesity, and weakened immune systems. Treatment involves oral or intravenous antibiotics depending on severity. Without proper treatment, the infection can spread to lymph nodes and bloodstream, becoming life-threatening. Preventive measures include proper wound care, managing skin conditions, and controlling risk factors like diabetes. Recurrent cellulitis may require long-term preventive antibiotics."
Gastroesophageal Reflux Disease,"Gastroesophageal Reflux Disease (GERD) is a chronic digestive disorder where stomach acid or bile flows back (refluxes) into the esophagus, irritating its lining. This backward flow occurs when the lower esophageal sphincter (the valve between the esophagus and stomach) weakens or relaxes inappropriately. Common symptoms include heartburn (a burning chest pain), regurgitation of sour liquid or food, difficulty swallowing, and the sensation of a lump in the throat. Nighttime symptoms may cause chronic cough, laryngitis, or disrupted sleep. Chronic GERD can lead to complications like esophagitis, Barrett's esophagus (a precancerous condition), and esophageal strictures. Treatment involves lifestyle modifications (weight loss, dietary changes, elevating the head of the bed), medications (antacids, H2 blockers, proton pump inhibitors), and in severe cases, surgery. Avoiding trigger foods like caffeine, alcohol, and fatty foods can help manage symptoms."
Sepsis,"Sepsis is a life-threatening medical emergency that occurs when the body's response to an infection causes widespread inflammation, leading to tissue damage, organ failure, and potentially death. It's the body's extreme response to an infection that has spread through the bloodstream. Symptoms may include fever, rapid heart rate, rapid breathing, confusion, extreme pain or discomfort, and clammy or sweaty skin. Severe sepsis can progress to septic shock, with dangerously low blood pressure that doesn't respond to fluid replacement. Sepsis can originate from any type of infection - bacterial, viral, or fungal - but commonly starts from pneumonia, urinary tract infections, or abdominal infections. Treatment requires immediate hospitalization, intravenous antibiotics, fluids, and medications to support blood pressure and organ function. Early recognition and treatment are crucial for survival, as sepsis can worsen rapidly. Survivors may experience long-term physical and psychological effects."
Deep Vein Thrombosis,"Deep Vein Thrombosis (DVT) is a serious condition where a blood clot forms in a deep vein, typically in the legs. The clot can partially or completely block blood flow, causing pain, swelling, redness, and warmth in the affected limb. The primary danger is that part of the clot can break off and travel to the lungs, causing a pulmonary embolism (a life-threatening emergency). Risk factors include prolonged immobility (such as during long flights or bed rest), surgery, injury, cancer, pregnancy, birth control pills, and genetic clotting disorders. Diagnosis involves ultrasound imaging and blood tests. Treatment typically includes blood thinners (anticoagulants) to prevent clot growth and new clots from forming. Compression stockings may be recommended to reduce swelling and prevent post-thrombotic syndrome. Prevention strategies include staying active, maintaining hydration, and using compression stockings during high-risk situations."
Dehydration,"Dehydration occurs when the body loses more fluids than it takes in, disrupting normal metabolic processes. Water is essential for numerous bodily functions including temperature regulation, joint lubrication, nutrient transportation, and waste removal. Mild to moderate dehydration symptoms include thirst, dry mouth, fatigue, decreased urine output (with dark yellow color), dry skin, dizziness, and headache. Severe dehydration can cause extreme thirst, very dry mouth and skin, lack of sweating, rapid heartbeat, rapid breathing, sunken eyes, confusion, and even unconsciousness. Causes include inadequate fluid intake, excessive sweating, vomiting, diarrhea, fever, or frequent urination (as with diabetes). Treatment involves replacing lost fluids and electrolytes, with severe cases requiring intravenous fluids in a hospital setting. Prevention includes drinking adequate fluids throughout the day, increasing intake during hot weather or exercise, and replacing fluids lost during illness. Elderly people and infants are particularly vulnerable to dehydration."
Neoplasm,"A neoplasm is an abnormal growth of tissue that results from uncontrolled, progressive multiplication of cells. Neoplasms can be benign (non-cancerous) or malignant (cancerous). Benign neoplasms grow slowly, remain localized, and generally don't spread to other parts of the body, though they may cause problems by pressing on nearby structures. Malignant neoplasms grow aggressively, invade surrounding tissues, and can metastasize (spread) to distant sites through the bloodstream or lymphatic system. Symptoms vary widely depending on the neoplasm's location and type but may include lumps, unexplained weight loss, persistent pain, changes in bowel or bladder habits, unusual bleeding, or persistent cough. Diagnosis typically involves imaging tests and biopsy. Treatment depends on the type and stage but may include surgery, radiation, chemotherapy, immunotherapy, or targeted therapy. Some neoplasms are preventable through lifestyle modifications like avoiding tobacco and excessive sun exposure."
Pulmonary Embolism,"A pulmonary embolism (PE) is a sudden blockage in one of the pulmonary arteries in the lungs, usually caused by a blood clot that travels from the legs (deep vein thrombosis). This condition is life-threatening as it prevents blood from reaching parts of the lung, reducing oxygen levels in the blood and straining the heart. Symptoms may include sudden shortness of breath, sharp chest pain that worsens with deep breathing or coughing, rapid heartbeat, coughing up blood, and lightheadedness or fainting. Risk factors include prolonged immobility, surgery, certain medications, smoking, obesity, and genetic clotting disorders. Diagnosis involves CT scans, blood tests, and sometimes pulmonary angiography. Immediate treatment with blood thinners (anticoagulants) or clot-dissolving medications (thrombolytics) is crucial. In severe cases, surgical removal of the clot may be necessary. Prevention includes early mobilization after surgery, compression stockings, and blood thinners for high-risk patients."
Epilepsy,"Epilepsy is a chronic neurological disorder characterized by recurrent, unprovoked seizures caused by abnormal electrical activity in the brain. Seizures can vary from brief lapses of attention or muscle jerks to severe and prolonged convulsions. The specific symptoms depend on which part of the brain is affected. Epilepsy has many possible causes including genetic factors, brain trauma, stroke, brain tumors, infections, or developmental disorders, though in many cases the cause remains unknown. Diagnosis involves detailed medical history, neurological exams, EEG (electroencephalogram), and brain imaging. Treatment typically begins with anti-seizure medications, with about 70% of patients achieving seizure control. For medication-resistant cases, options include specialized diets (like ketogenic diet), nerve stimulation devices, or brain surgery. People with epilepsy need to take precautions to prevent injuries during seizures and maintain regular medical follow-up. Most can lead full, active lives with proper management."
Cardiomyopathy,"Cardiomyopathy refers to diseases of the heart muscle that make it harder for the heart to pump blood to the rest of the body. There are several types: dilated (enlarged ventricles), hypertrophic (thickened heart muscle), restrictive (stiff heart muscle), and arrhythmogenic (replacement of muscle with fatty tissue). Symptoms may include breathlessness with exertion or at rest, swelling of the legs and feet, fatigue, irregular heartbeats, dizziness, and fainting. Causes include genetic factors, long-term high blood pressure, heart tissue damage from heart attacks, chronic rapid heart rate, metabolic disorders, or excessive alcohol use. Treatment depends on the type and severity but may include medications, surgically implanted devices (like pacemakers), or in severe cases, heart transplant. Lifestyle changes like salt restriction and avoiding alcohol are often recommended. Some forms of cardiomyopathy can lead to heart failure if not properly managed."
Chronic Kidney Failure,"Chronic kidney failure, also called chronic kidney disease (CKD), is the gradual loss of kidney function over time. Healthy kidneys filter wastes and excess fluids from the blood, which are then excreted in urine. As CKD progresses, dangerous levels of fluid, electrolytes, and wastes can build up in the body. In early stages, there may be few symptoms, but as kidney function worsens, symptoms may include nausea, vomiting, loss of appetite, fatigue, sleep problems, changes in urine output, muscle cramps, swelling of feet and ankles, and persistent itching. The two main causes are diabetes and high blood pressure. Other causes include glomerulonephritis, polycystic kidney disease, and prolonged urinary tract obstruction. Treatment focuses on slowing progression through blood pressure control, dietary changes, and managing underlying conditions. End-stage kidney disease requires dialysis or kidney transplantation."
Carcinoma,"Carcinoma is a type of cancer that begins in the epithelial cells that line the internal and external surfaces of the body. These account for about 80-90% of all cancer cases. Major types include adenocarcinoma (glandular tissues), squamous cell carcinoma (surface epithelium), and basal cell carcinoma (skin). Carcinomas can develop in many organs including the lungs, breasts, prostate, colon, pancreas, and skin. Symptoms vary by location but may include lumps, unusual bleeding, persistent pain, changes in bowel or bladder habits, unexplained weight loss, or skin changes. Risk factors include tobacco use, excessive sun exposure, certain infections, radiation, and genetic predisposition. Diagnosis typically involves biopsy and imaging tests. Treatment options include surgery, radiation therapy, chemotherapy, targeted therapy, and immunotherapy, often in combination. Early detection through screening (like mammograms or colonoscopies) significantly improves outcomes for many carcinomas."
Hepatitis C,"Hepatitis C is a viral infection that primarily affects the liver, caused by the hepatitis C virus (HCV). The infection can range from a mild illness lasting a few weeks to a serious, lifelong condition that leads to cirrhosis or liver cancer. Many people with acute hepatitis C don't experience symptoms, though some may have fever, fatigue, nausea, abdominal pain, and jaundice. Chronic infection often progresses silently for decades until liver damage becomes significant. HCV is spread through contact with infected blood, most commonly through sharing needles or other equipment to inject drugs, unsafe medical procedures, or before widespread screening of blood products (prior to 1992). Unlike hepatitis B, sexual transmission is less common. Modern antiviral medications can cure over 90% of hepatitis C cases with 8-12 weeks of oral treatment. Without treatment, chronic hepatitis C can lead to serious liver complications requiring transplantation."
Peripheral Vascular Disease,"Peripheral vascular disease (PVD), also called peripheral artery disease (PAD), refers to narrowed or blocked blood vessels outside the heart and brain, typically affecting arteries supplying the legs. This narrowing is usually caused by atherosclerosis (plaque buildup in artery walls). The most common symptom is intermittent claudication - leg pain or cramping during activity that improves with rest. Other symptoms may include leg numbness or weakness, coldness in lower leg or foot, sores that won't heal, and color changes in the skin. Severe PAD can lead to critical limb ischemia with pain at rest and tissue loss. Risk factors include smoking, diabetes, high blood pressure, high cholesterol, and older age. Treatment focuses on lifestyle changes (smoking cessation, exercise), medications to improve blood flow and prevent clots, and in advanced cases, angioplasty or bypass surgery. Untreated PAD increases risk of heart attack and stroke."
Psychotic Disorder,"Psychotic disorders are severe mental illnesses characterized by distorted thinking and awareness, with two main symptoms: hallucinations (seeing or hearing things that aren't there) and delusions (false fixed beliefs). The most common psychotic disorder is schizophrenia. Other types include schizoaffective disorder, brief psychotic disorder, and delusional disorder. Symptoms may also include disorganized speech and behavior, lack of emotional expression, and difficulty functioning in daily life. These disorders typically emerge in late adolescence or early adulthood and have genetic and environmental causes. Treatment involves antipsychotic medications combined with psychotherapy and social support services. Early intervention is crucial as prolonged untreated psychosis can worsen long-term outcomes. While these are chronic conditions, many people with psychotic disorders can achieve significant recovery with proper treatment and support. Hospitalization may be needed during acute episodes when safety is a concern."
Hyperlipidemia,"Hyperlipidemia refers to elevated levels of lipids (fats) in the blood, including cholesterol and triglycerides. This condition is a major risk factor for atherosclerosis (hardening and narrowing of arteries) and cardiovascular diseases like heart attack and stroke. There are different types: high LDL ('bad' cholesterol), low HDL ('good' cholesterol), high triglycerides, or combinations of these. Most people with hyperlipidemia have no symptoms until serious complications develop. Causes include genetic factors (familial hypercholesterolemia), unhealthy diet high in saturated and trans fats, obesity, diabetes, hypothyroidism, and certain medications. Treatment focuses on lifestyle changes (heart-healthy diet, regular exercise, smoking cessation) and often cholesterol-lowering medications like statins. Regular lipid profile testing is important for early detection and monitoring treatment effectiveness. Untreated severe hyperlipidemia can lead to premature cardiovascular disease."
Bipolar Disorder,"Bipolar disorder is a mental health condition characterized by extreme mood swings that include emotional highs (mania or hypomania) and lows (depression). During manic episodes, individuals may feel euphoric, full of energy, or unusually irritable, with decreased need for sleep, racing thoughts, and impulsive behaviors like spending sprees. Depressive episodes involve feelings of sadness, hopelessness, loss of interest in activities, and sometimes suicidal thoughts. There are several types including bipolar I (with severe mania), bipolar II (with milder hypomania), and cyclothymic disorder. The exact cause is unknown but involves genetic, biological and environmental factors. Treatment typically includes mood stabilizers, antipsychotics, psychotherapy, and lifestyle management. Without treatment, bipolar disorder tends to worsen over time and can lead to serious consequences including suicide attempts, substance abuse, and relationship problems. Regular sleep and stress reduction are important for managing the condition."
Obesity,"Obesity is a complex disease involving excessive body fat accumulation that presents a risk to health. It's typically defined by a body mass index (BMI) of 30 or higher. Obesity increases the likelihood of various diseases including heart disease, diabetes, high blood pressure, certain cancers, and osteoarthritis. Contributing factors include genetic predisposition, overeating high-calorie foods, physical inactivity, certain medications, psychological factors, and social determinants of health. Complications can include sleep apnea, fatty liver disease, and mental health issues like depression. Treatment involves creating a calorie deficit through dietary changes, increased physical activity, and behavior modification. In some cases, medications or bariatric surgery may be considered. Obesity management requires long-term lifestyle changes rather than short-term diets. Prevention strategies focus on healthy eating patterns and regular physical activity from childhood onward."
Ischemia,"Ischemia refers to insufficient blood flow to tissues, resulting in reduced oxygen and nutrient supply. This can occur in various organs including the heart (cardiac ischemia), brain (cerebral ischemia), or limbs (peripheral ischemia). Symptoms depend on the affected area but may include pain (like angina in heart ischemia), dysfunction of the affected organ, or in severe cases, tissue death (infarction). Common causes include atherosclerosis (narrowed arteries from plaque buildup), blood clots, or vasospasm. Risk factors include smoking, high blood pressure, high cholesterol, diabetes, and family history. Treatment aims to restore blood flow (through medications, angioplasty, or surgery) and prevent further damage. Immediate treatment is crucial for acute ischemia like heart attack or stroke to prevent permanent damage. Chronic ischemia may require long-term management of underlying conditions and lifestyle modifications."
Cirrhosis,"Cirrhosis is late-stage scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as chronic alcoholism and hepatitis. As healthy liver tissue is replaced by scar tissue, the liver's ability to function deteriorates. Early symptoms may include fatigue, weakness, weight loss, nausea, and abdominal pain. As the disease progresses, symptoms can include jaundice (yellowing of skin and eyes), easy bruising or bleeding, swelling in legs and abdomen (edema and ascites), confusion (hepatic encephalopathy), and spider-like blood vessels on the skin. Complications include portal hypertension, increased risk of liver cancer, and complete liver failure. While existing liver damage is permanent, treatment focuses on managing underlying causes (like alcohol cessation or antiviral medications for hepatitis), preventing further damage, and managing complications. Advanced cirrhosis may require liver transplantation."
Exanthema,"Exanthema refers to a widespread rash that typically appears abruptly and affects large areas of the body. These rashes are often associated with viral infections in children (like measles, rubella, or roseola) but can also occur in adults. The rash may consist of red spots, bumps, or blotches that can be flat or raised, and may or may not itch. Other symptoms often accompany the rash, such as fever, headache, fatigue, and body aches. The specific pattern and progression of the rash can help identify the underlying cause. Treatment focuses on managing symptoms (with antihistamines for itching or fever reducers) and addressing the underlying infection if necessary. Most viral exanthems resolve on their own within days to weeks. Bacterial causes (like scarlet fever) require antibiotic treatment. Keeping the skin moisturized and avoiding irritants can help with comfort during healing."
Benign Prostatic Hypertrophy,"Benign Prostatic Hyperplasia (BPH) is a non-cancerous enlargement of the prostate gland that commonly occurs in older men. As the prostate grows, it can squeeze the urethra and cause problems with urination. Symptoms may include frequent or urgent need to urinate, difficulty starting urination, weak urine stream, dribbling at the end of urination, inability to completely empty the bladder, and nocturia (frequent urination at night). While BPH doesn't increase prostate cancer risk, the symptoms can significantly affect quality of life. Causes are related to hormonal changes associated with aging. Treatment options range from watchful waiting for mild cases to medications (alpha blockers, 5-alpha reductase inhibitors), minimally invasive procedures, or surgery for severe cases. Lifestyle modifications like limiting fluids before bedtime and avoiding caffeine/alcohol can help manage symptoms. Regular check-ups are important to monitor progression."
