Disease,Herbal Home Remedy,Precautions,Source
epilepsy,Passionflower: Drink passionflower tea to reduce seizures (consult a doctor).,Take anticonvulsants consistently; get adequate sleep; avoid seizure triggers (flashing lights if photosensitive); limit alcohol; wear medical alert ID; avoid swimming alone; be cautious with heights/machinery,NCCIH
cardiomyopathy,Hawthorn: Use hawthorn extract to support heart health.,Limit salt/fluid if advised; take medications exactly as prescribed; avoid alcohol if alcoholic cardiomyopathy; exercise as recommended; monitor weight daily; get regular cardiac checkups; manage stress,NCCIH
chronic kidney failure,Dandelion root: Drink dandelion root tea to support kidney function.,Follow renal diet (limit protein/potassium/phosphorus); control blood pressure; take phosphate binders with meals; stay hydrated but limit fluids if advised; avoid NSAIDs; get regular lab tests,NCCIH
carcinoma,Green tea: Drink green tea regularly for its antioxidant properties.,Attend all cancer screenings; avoid known carcinogens; maintain healthy weight; exercise regularly; eat balanced diet; limit alcohol; protect skin from sun; follow treatment plans precisely,NCCIH
hepatitis C,Milk thistle: Take milk thistle supplements to support liver health.,"Avoid alcohol; get vaccinated for hepatitis A/B; practice safe sex; don't share personal items (razors, toothbrushes); take antiviral medications as prescribed; get regular liver checks; manage fatigue",NCCIH
peripheral vascular disease,Ginkgo biloba: Take ginkgo biloba supplements to improve circulation.,Quit smoking; control diabetes/blood pressure; exercise regularly (walking program); care for feet meticulously; avoid tight footwear; keep legs elevated when sitting; manage cholesterol,NCCIH
psychotic disorder,Valerian root: Take valerian root supplements to promote relaxation.,Take antipsychotics consistently; attend therapy sessions; maintain regular sleep; avoid alcohol/drugs; identify early warning signs of relapse; stay connected with support system; manage stress,NCCIH
hyperlipidemia,Turmeric: Add turmeric to your diet or take curcumin supplements to lower cholesterol.,Follow low-cholesterol diet; exercise regularly; take statins as prescribed; choose healthy fats; increase fiber intake; maintain healthy weight; get regular lipid panels; manage other risk factors,NCCIH
bipolar disorder,Valerian root: Take valerian root supplements to promote relaxation.,Take mood stabilizers consistently; maintain regular sleep schedule; avoid alcohol/drugs; identify early mood change signs; attend therapy; manage stress; establish daily routine; keep mood chart if helpful,NCCIH
obesity,Green tea: Drink green tea regularly to boost metabolism.,Follow balanced calorie-reduced diet; exercise regularly (150+ mins/week); monitor portion sizes; limit processed foods/sugary drinks; keep food diary; seek support groups; address emotional eating,NCCIH
ischemia,Ginkgo biloba: Take ginkgo biloba supplements to improve circulation.,Quit smoking; control blood pressure/cholesterol/diabetes; exercise as tolerated; take antiplatelets as prescribed; recognize angina symptoms; avoid extreme cold/stress; attend cardiac rehab,NCCIH
cirrhosis,Milk thistle: Take milk thistle supplements to support liver health.,Avoid all alcohol; limit salt if ascites present; get hepatitis vaccinations; monitor for confusion (hepatic encephalopathy signs); eat adequate protein; avoid NSAIDs; attend regular liver checks,NCCIH
exanthema,Aloe vera: Apply aloe vera gel topically to soothe skin rashes.,"Identify and avoid triggers (allergens, irritants); keep skin moisturized; use gentle soaps; avoid scratching; wear loose cotton clothing; manage fever appropriately; practice good hygiene",NCCIH
benign prostatic hypertrophy,Saw palmetto: Take saw palmetto supplements to support prostate health.,Limit fluids before bedtime; reduce caffeine/alcohol; avoid antihistamines/decongestants; take medications as prescribed; practice double voiding; stay active; manage constipation,NCCIH
kidney failure acute,Dandelion root: Drink dandelion root tea to support kidney function.,Monitor urine output; follow fluid restrictions if given; avoid nephrotoxic drugs; follow renal diet; attend all follow-ups; report swelling/shortness of breath; manage underlying causes,NCCIH
mitral valve insufficiency,Hawthorn: Use hawthorn extract to support heart health.,Take medications as prescribed; monitor for worsening symptoms; get regular echocardiograms; practice good dental hygiene; take antibiotics before procedures if advised; manage fluid intake if needed,NCCIH
arthritis,Turmeric: Add turmeric to your diet or take curcumin supplements to reduce joint inflammation.,Maintain healthy weight; exercise regularly (low-impact); use joint protection techniques; apply heat/cold therapy; take medications as prescribed; consider physical therapy; use assistive devices if needed,NCCIH
bronchitis,Thyme: Drink thyme tea to relieve cough and congestion.,Quit smoking; avoid lung irritants; get flu/pneumonia vaccines; practice hand hygiene; use humidifier; stay hydrated; rest adequately during infections; manage underlying lung conditions,NCCIH
hemiparesis,Ginkgo biloba: Take ginkgo biloba supplements to improve circulation.,Participate in physical therapy; prevent falls (remove home hazards); use assistive devices; perform prescribed exercises; protect insensate limbs; manage spasticity; attend all rehab sessions,NCCIH
osteoporosis,Horsetail: Drink horsetail tea to support bone health.,"Ensure adequate calcium/vitamin D; perform weight-bearing exercises; prevent falls (remove rugs, improve lighting); take medications as prescribed; avoid smoking/excess alcohol; use proper body mechanics",NCCIH
transient ischemic attack,Ginkgo biloba: Take ginkgo biloba supplements to improve circulation.,Take antiplatelets as prescribed; control blood pressure/cholesterol; quit smoking; manage diabetes; recognize stroke symptoms; exercise regularly; eat heart-healthy diet; attend all follow-ups,NCCIH
adenocarcinoma,Green tea: Drink green tea regularly for its antioxidant properties.,"Attend recommended cancer screenings; avoid known risk factors (tobacco, excessive sun); follow treatment plan precisely; manage side effects; maintain nutrition; exercise as able; monitor for recurrence",NCCIH
paranoia,Valerian root: Take valerian root supplements to promote relaxation.,Take medications consistently; attend therapy; maintain routines; avoid isolation; manage stress; identify trusted support people; avoid substance use; recognize early signs of worsening,NCCIH
pancreatitis,Milk thistle: Take milk thistle supplements to support liver and pancreatic health.,Avoid alcohol completely; eat low-fat diet; don't smoke; take pancreatic enzymes if prescribed; eat small frequent meals; stay hydrated; manage pain appropriately; monitor for diabetes signs,NCCIH
incontinence,Horsetail: Drink horsetail tea to strengthen the bladder.,"Perform Kegel exercises; maintain healthy weight; limit bladder irritants (caffeine, alcohol); establish regular toilet schedule; use absorbent products if needed; treat constipation; manage fluid intake",NCCIH
paroxysmal dyspnea,Ginger: Drink ginger tea to improve breathing.,Sleep with head elevated; limit salt/fluid if heart failure; take medications as prescribed; monitor weight daily; avoid heavy meals before bedtime; recognize early symptoms; manage anxiety,NCCIH
hernia,Slippery elm: Drink slippery elm tea to soothe the digestive tract.,"Avoid heavy lifting; manage constipation; maintain healthy weight; use proper lifting techniques; wear truss if prescribed; recognize incarceration signs (sudden pain, vomiting); consider surgical options",NCCIH
carcinoma prostate,Saw palmetto: Take saw palmetto supplements to support prostate health.,Attend regular PSA screenings if appropriate; maintain healthy weight; exercise regularly; eat lycopene-rich foods (tomatoes); consider genetic counseling if strong family history; follow treatment plan precisely,NCCIH
edema pulmonary,Dandelion root: Drink dandelion root tea to reduce fluid retention.,Limit salt/fluid as advised; take medications exactly as prescribed; monitor weight daily; sleep with head elevated; recognize early symptoms; get flu/pneumonia vaccines; avoid excessive exertion,NCCIH
lymphatic diseases,Echinacea: Use echinacea to boost the immune system.,Practice meticulous skin care; wear compression garments if lymphedema; avoid blood pressure/injections in affected limb; prevent infections; elevate affected limbs; exercise as tolerated; maintain healthy weight,NCCIH
stenosis aortic valve,Hawthorn: Use hawthorn extract to support heart health.,Attend regular cardiology follow-ups; take antibiotics before dental procedures if advised; monitor for symptom changes; avoid strenuous activity if severe; manage blood pressure; get echocardiograms as recommended,NCCIH
carcinoma breast,Green tea: Drink green tea regularly for its antioxidant properties.,Perform monthly breast self-exams; get regular mammograms; maintain healthy weight; exercise regularly; limit alcohol; breastfeed if possible; consider genetic testing if high risk; follow treatment plan,NCCIH
schizophrenia,Valerian root: Take valerian root supplements to promote relaxation.,Take antipsychotics consistently; attend therapy/support groups; avoid substance use; maintain routines; identify early relapse signs; manage stress; stay connected with treatment team; ensure adequate sleep,NCCIH
diverticulitis,Slippery elm: Drink slippery elm tea to soothe the digestive tract.,Eat high-fiber diet when not inflamed; stay hydrated; exercise regularly; maintain healthy weight; avoid constipation; possibly limit nuts/seeds if they trigger symptoms; report recurrent episodes,NCCIH
overload fluid,Dandelion root: Drink dandelion root tea to reduce fluid retention.,Limit salt intake strictly; follow fluid restrictions if given; take diuretics as prescribed; monitor weight daily; elevate legs when sitting; wear compression stockings; recognize early symptoms,NCCIH
ulcer peptic,Licorice root: Drink licorice root tea to soothe the stomach lining.,Take prescribed antibiotics for H. pylori; avoid NSAIDs if possible; limit alcohol; don't smoke; manage stress; eat regular meals; avoid foods that worsen symptoms; report bleeding signs immediately,NCCIH
osteomyelitis,Echinacea: Use echinacea to boost the immune system.,Complete full antibiotic course; care for wounds meticulously; manage diabetes carefully; avoid pressure on affected area; attend all follow-ups; report recurrent fever/pain; maintain good nutrition,NCCIH
gastritis,Chamomile: Drink chamomile tea to soothe the stomach.,Avoid NSAIDs if possible; limit alcohol; eat small frequent meals; manage stress; treat H. pylori if present; avoid foods that irritate; don't smoke; take acid reducers as prescribed,NCCIH
bacteremia,Goldenseal: Use goldenseal root to fight bacterial infections (seek immediate medical attention).,Complete full antibiotic courses; practice good hygiene; care for wounds properly; manage chronic conditions; seek prompt treatment for infections; avoid unnecessary IV lines; get recommended vaccines,NCCIH
failure kidney,Dandelion root: Drink dandelion root tea to support kidney function.,Follow renal diet strictly; take phosphate binders with meals; limit fluids if advised; attend all dialysis sessions; monitor potassium intake; avoid NSAIDs; control blood pressure; exercise as tolerated,NCCIH
sickle cell anemia,Nettle: Drink nettle tea to boost iron levels.,"Stay hydrated; avoid extreme temperatures; get regular medical care; take prescribed medications; prevent infections (vaccinations, penicillin if advised); manage pain triggers; seek care for crises promptly",NCCIH
failure heart,Hawthorn: Use hawthorn extract to support heart health.,Limit salt/fluid as directed; take medications exactly as prescribed; monitor weight daily; exercise as tolerated; elevate legs when sitting; recognize worsening symptoms; get flu/pneumonia vaccines,NCCIH
upper respiratory infection,Echinacea: Drink echinacea tea to boost the immune system.,Practice hand hygiene; cover coughs/sneezes; stay home when sick; get flu vaccine; don't share personal items; stay hydrated; rest adequately; avoid smoking/secondhand smoke,NCCIH
hepatitis,Milk thistle: Take milk thistle supplements to support liver health.,Get vaccinated for hepatitis A/B; avoid alcohol; practice safe sex; don't share needles/personal items; take prescribed antivirals; eat balanced diet; attend regular liver checks; manage fatigue,NCCIH
hypertension pulmonary,Garlic: Consume raw garlic or garlic supplements to help lower blood pressure.,Take medications exactly as prescribed; limit salt/fluid if advised; monitor for symptom changes; avoid high altitudes; get flu/pneumonia vaccines; exercise as tolerated; avoid pregnancy if severe,NCCIH
deglutition disorder,Slippery elm: Drink slippery elm tea to soothe the throat.,"Eat slowly in upright position; use thickened liquids if advised; perform swallowing exercises; maintain oral hygiene; eat smaller, more frequent meals; avoid distractions while eating; attend speech therapy",NCCIH
gout,Cherry juice: Drink cherry juice to reduce uric acid levels.,"Limit purine-rich foods (red meat, shellfish); avoid alcohol; stay hydrated; maintain healthy weight; take medications as prescribed; apply ice during flares; elevate affected joints; avoid injury to affected joints",NCCIH
thrombocytopaenia,Papaya leaf extract: Take papaya leaf extract to boost platelet count.,Avoid trauma/contact sports; use soft toothbrush/electric razor; check for bleeding/bruising; avoid NSAIDs; report unusual bleeding; take medications as prescribed; attend regular blood tests,NCCIH
hypoglycemia,Licorice root: Drink licorice root tea to stabilize blood sugar levels.,Eat regular meals/snacks; carry fast-acting glucose; monitor blood sugar regularly; adjust insulin carefully; wear medical alert ID; inform family/friends; avoid skipping meals; limit alcohol,NCCIH
pneumonia aspiration,Echinacea: Use echinacea to boost the immune system (seek immediate medical attention).,Eat in upright position; modify food textures if needed; take small bites; maintain oral hygiene; don't talk while eating; attend speech therapy; treat reflux if present; monitor for fever/cough,NCCIH
colitis,Slippery elm: Drink slippery elm tea to soothe the digestive tract.,Follow prescribed diet (low-residue during flares); stay hydrated; manage stress; take medications consistently; monitor for symptom changes; get regular colonoscopies if IBD; report bleeding immediately,NCCIH
diverticulosis,Slippery elm: Drink slippery elm tea to soothe the digestive tract.,Eat high-fiber diet; stay hydrated; exercise regularly; maintain healthy weight; avoid constipation; possibly limit nuts/seeds if they cause symptoms; report sudden pain/fever immediately,NCCIH
suicide attempt,Valerian root: Take valerian root supplements to promote relaxation.,Attend all therapy sessions; take medications as prescribed; remove access to lethal means; identify support network; create safety plan; recognize warning signs; avoid isolation; manage substance use,NCCIH
Pneumocystis carinii pneumonia,Echinacea: Use echinacea to boost the immune system.,Take prophylactic medications if CD4<200; attend HIV treatment regularly; avoid exposure to respiratory infections; report breathing difficulties promptly; maintain good nutrition; get regular medical care,NCCIH
hepatitis B,Milk thistle: Take milk thistle supplements to support liver health.,Get vaccinated if not immune; avoid alcohol; practice safe sex; don't share needles/personal items; take antivirals if prescribed; get regular liver checks; inform close contacts to get tested,NCCIH
parkinson disease,Mucuna pruriens: Take mucuna pruriens supplements to support dopamine levels.,Take medications on strict schedule; modify home for safety; exercise regularly (balance/flexibility); use assistive devices if needed; attend therapy sessions; manage constipation; protect against falls,NCCIH
lymphoma,Green tea: Drink green tea regularly for its antioxidant properties.,Attend all treatment sessions; manage side effects proactively; monitor for fever/infections; maintain nutrition; exercise as able; attend support groups; monitor for recurrence; protect skin during radiation,NCCIH
hyperglycemia,Bitter melon: Drink bitter melon juice to help regulate blood sugar.,Monitor blood sugar regularly; take medications as prescribed; follow diabetic diet; exercise regularly; stay hydrated; check for ketones if very high; recognize symptoms early; manage stress,NCCIH
encephalopathy,Ginkgo biloba: Take ginkgo biloba supplements to improve cognitive function.,Take medications as prescribed; manage underlying cause; maintain routines; ensure safe environment; monitor for worsening confusion; maintain hydration/nutrition; attend all follow-ups,NCCIH
tricuspid valve insufficiency,Hawthorn: Use hawthorn extract to support heart health.,Take medications as prescribed; limit salt if edema present; monitor for symptom changes; elevate legs when sitting; take antibiotics before procedures if advised; manage fluid intake,NCCIH
Alzheimer's disease,Ginkgo biloba: Take ginkgo biloba supplements to improve cognitive function.,Establish routines; modify home for safety; use memory aids; maintain social engagement; exercise regularly; manage medications carefully; consider GPS tracking if wandering; attend support groups,NCCIH
oral candidiasis,Tea tree oil: Use diluted tea tree oil as a mouthwash to fight fungal infections.,Practice good oral hygiene; rinse mouth after inhaler use; clean dentures daily; control diabetes; take probiotics if on antibiotics; use prescribed antifungals completely; avoid excessive sugar,NCCIH
neuropathy,Evening primrose oil: Take evening primrose oil supplements to support nerve health.,Control blood sugar if diabetic; inspect feet daily; wear proper footwear; avoid injuries; manage pain appropriately; exercise regularly; take vitamin supplements if deficient; avoid alcohol,NCCIH
kidney disease,Dandelion root: Drink dandelion root tea to support kidney function.,Control blood pressure/diabetes; follow renal diet; stay hydrated but limit if advanced; avoid NSAIDs; attend all follow-ups; take medications as prescribed; monitor for symptom changes,NCCIH
fibroid tumor,Chasteberry: Take chasteberry supplements to balance hormones.,Monitor symptoms; manage anemia if heavy bleeding; consider hormonal treatments; maintain healthy weight; exercise regularly; apply heat for pain; consider surgical options if quality of life affected,NCCIH
glaucoma,Bilberry: Take bilberry supplements to support eye health.,Use eye drops exactly as prescribed; attend all eye exams; protect eyes from trauma; monitor vision changes; manage other health conditions; inform family to get screened; avoid steroid eye drops unless prescribed,NCCIH
neoplasm metastasis,Green tea: Drink green tea regularly for its antioxidant properties.,Follow treatment plan precisely; manage side effects proactively; maintain nutrition; exercise as able; attend support groups; monitor for new symptoms; communicate with care team openly,NCCIH
carcinoma colon,Green tea: Drink green tea regularly for its antioxidant properties.,Attend regular colonoscopies; follow treatment plan; manage side effects; maintain nutrition; exercise as able; monitor for recurrence; consider genetic counseling if family history; limit processed meats,NCCIH
ketoacidosis diabetic,Bitter melon: Drink bitter melon juice to help regulate blood sugar (seek immediate medical attention).,Monitor blood sugar regularly; take insulin as prescribed; check for ketones when ill/high blood sugar; stay hydrated; know sick-day rules; seek care early for vomiting/high sugars; manage diabetes carefully,NCCIH
tonic-clonic seizures,Passionflower: Drink passionflower tea to reduce seizures (consult a doctor).,Take anticonvulsants consistently; get adequate sleep; avoid seizure triggers; wear medical alert ID; avoid swimming alone; be cautious with heights/machinery; inform employer/teachers; have rescue meds available,NCCIH
malignant neoplasms,Green tea: Drink green tea regularly for its antioxidant properties.,Avoid known carcinogens; attend recommended screenings; follow treatment plans; manage side effects; maintain nutrition; exercise as able; attend support groups; monitor for recurrence,NCCIH
respiratory failure,Echinacea: Use echinacea to boost the immune system (seek immediate medical attention).,Use oxygen as prescribed; attend pulmonary rehab; quit smoking; get flu/pneumonia vaccines; monitor for symptom changes; pace activities; maintain healthy weight; avoid respiratory irritants,NCCIH
melanoma,Green tea: Drink green tea regularly for its antioxidant properties.,Perform monthly skin self-exams; use broad-spectrum sunscreen daily; avoid peak sun hours; wear protective clothing; get professional skin checks; monitor moles for changes; avoid tanning beds,NCCIH
gastroenteritis,Ginger: Drink ginger tea to soothe the stomach.,Practice hand hygiene; avoid contaminated food/water; stay hydrated; use oral rehydration solutions; rest adequately; avoid preparing food for others while sick; clean surfaces thoroughly,NCCIH
carcinoma of lung,Green tea: Drink green tea regularly for its antioxidant properties.,Quit smoking; avoid secondhand smoke; test home for radon; attend recommended screenings if high risk; follow treatment plan; manage side effects; exercise as able; monitor for new symptoms,NCCIH
manic disorder,Valerian root: Take valerian root supplements to promote relaxation.,Take mood stabilizers consistently; maintain regular sleep; avoid alcohol/drugs; identify early symptoms; attend therapy; manage stress; establish routine; involve trusted support people,NCCIH
personality disorder,Valerian root: Take valerian root supplements to promote relaxation.,Attend therapy consistently; practice coping skills; manage impulsivity; establish healthy relationships; avoid substance use; recognize triggers; take medications if prescribed; join support groups,NCCIH
primary carcinoma of the liver cells,Milk thistle: Take milk thistle supplements to support liver health.,"Maintain a healthy lifestyle, stay hydrated, practice good hygiene, avoid known risk factors, and consult a healthcare provider for disease-specific advice.",NCCIH
emphysema pulmonary,Ginger: Drink ginger tea to improve breathing.,Quit smoking; avoid air pollutants; use inhalers as prescribed; get flu/pneumonia vaccines; practice breathing techniques; exercise as tolerated; maintain nutrition; prevent infections,NCCIH
hemorrhoids,Witch hazel: Apply witch hazel topically to reduce swelling and discomfort.,Eat high-fiber diet; stay hydrated; avoid straining; don't delay bowel movements; exercise regularly; use stool softeners if needed; practice good anal hygiene; avoid prolonged sitting,NCCIH
spasm bronchial,Thyme: Drink thyme tea to relieve cough and congestion.,Use inhalers as prescribed; avoid triggers; carry rescue inhaler; get flu vaccine; monitor peak flow; create asthma action plan; clean living environment; manage stress; avoid smoke,NCCIH
aphasia,Ginkgo biloba: Take ginkgo biloba supplements to improve cognitive function.,Attend speech therapy; use communication aids; practice language exercises; be patient in conversations; reduce background noise; use gestures/writing; involve family in therapy; join support groups,NCCIH
obesity morbid,Green tea: Drink green tea regularly to boost metabolism.,Follow medically supervised weight loss plan; increase physical activity gradually; address emotional eating; consider bariatric surgery options; manage comorbidities; seek support groups; make sustainable lifestyle changes,NCCIH
pyelonephritis,Cranberry: Drink cranberry juice to prevent UTIs.,"Complete full antibiotic course; stay hydrated; urinate frequently; practice good hygiene; treat underlying causes (stones, anomalies); report recurrent infections; get follow-up urine tests",NCCIH
endocarditis,Echinacea: Use echinacea to boost the immune system.,Take antibiotics before dental procedures if high risk; practice good oral hygiene; avoid IV drug use; monitor for fever; attend regular cardiology follow-ups; report new murmurs/symptoms,NCCIH
pericardial effusion body substance,Dandelion root: Drink dandelion root tea to reduce fluid retention.,"Maintain a healthy lifestyle, stay hydrated, practice good hygiene, avoid known risk factors, and consult a healthcare provider for disease-specific advice.",NCCIH
chronic alcoholic intoxication,Milk thistle: Take milk thistle supplements to support liver health.,"Maintain a healthy lifestyle, stay hydrated, practice good hygiene, avoid known risk factors, and consult a healthcare provider for disease-specific advice.",NCCIH
pneumothorax,Echinacea: Use echinacea to boost the immune system (seek immediate medical attention).,Quit smoking; avoid air travel/diving until cleared; monitor for recurrence; report sudden chest pain immediately; avoid valsalva maneuvers; attend follow-ups; consider pleurodesis if recurrent,NCCIH
delirium,Rosemary: Use rosemary essential oil or drink rosemary tea to improve focus.,Ensure proper lighting/orientation cues; maintain sleep-wake cycle; manage medications carefully; address infections promptly; ensure hydration/nutrition; involve family in care; prevent falls,NCCIH
neutropenia,Astragalus: Take astragalus supplements to boost the immune system.,Practice meticulous hand hygiene; avoid crowds/sick contacts; cook foods thoroughly; avoid fresh flowers/cutting gardens; monitor for fever; take prophylactic medications if prescribed; report infections early,NCCIH
hyperbilirubinemia,Dandelion root: Drink dandelion root tea to support liver function.,Follow treatment plan for underlying cause; protect skin from itching; attend follow-up blood tests; monitor for kernicterus signs in newborns; avoid fasting; stay hydrated; limit alcohol if liver disease,NCCIH
influenza,Echinacea: Drink echinacea tea to boost the immune system.,Get annual flu vaccine; practice hand hygiene; avoid close contact with sick individuals; stay home when ill; cover coughs/sneezes; clean surfaces regularly; maintain healthy immune system,NCCIH
